Read Time:           1.63841
Build Time:          0.09780
Graph has 11950758 nodes and 12711603 directed edges for degree: 1
13831          1     0.05673
13898          1     0.01386
14153          1     0.12905
14247          1     0.02793
14343          1     0.00860
14356          1     0.12065
14535          1     0.00819
14746          1     0.11959
14945          1     0.02076
15028          1     0.10320
15241          1     0.01824
15474          1     0.00620
15653          1     0.00619
15862          1     0.01654
15901          1     0.12473
15913          1     0.05990
16074          1     0.00541
16278          1     0.15766
16330          1     0.01155
16544          1     0.00587
16667          1     0.06389
16826          1     0.03312
16965          1     0.02020
17142          1     0.13797
17197          1     0.14075
17268          1     0.01326
17332          1     0.01367
17460          1     0.03172
17577          1     0.01630
17651          1     0.13273
17804          1     0.00745
17886          1     0.00497
18072          1     0.00577
18078          1     0.01525
18329          1     0.00911
18580          1     0.17769
18707          1     0.18126
18938          1     0.16153
19051          1     0.24629
19274          1     0.03033
19518          1     0.00397
19734          1     0.01464
19735          1     0.00411
19778          1     0.01317
19941          1     0.16563
20167          1     0.00749
20204          1     0.04568
20450          1     0.00818
20462          1     0.02167
20580          1     0.00533
20616          1     0.18057
20820          1     0.01639
21052          1     0.02841
21285          1     0.01355
21496          1     0.17874
21497          1     0.17094
21536          1     0.11902
21577          1     0.04529
21788          1     0.02442
21994          1     0.00836
22176          1     0.00615
22296          1     0.04049
22305          1     0.00435
22356          1     0.01222
22445          1     0.06433
22593          1     0.22209
22821          1     0.00856
23074          1     0.18262
23175          1     0.00594
23320          1     0.01053
23377          1     0.19144
23411          1     0.01036
23487          1     0.02719
23689          1     0.20422
23785          1     0.04945
23986          1     0.03188
24126          1     0.04093
24252          1     0.02293
24391          1     0.19990
24492          1     0.23093
24608          1     0.01785
24690          1     0.20740
24856          1     0.03755
25089          1     0.01820
25341          1     0.00349
25527          1     0.07057
25674          1     0.02208
25900          1     0.24512
25919          1     0.02285
25954          1     0.00374
26020          1     0.22781
26195          1     0.04677
26441          1     0.01958
26464          1     0.19848
26588          1     0.00931
26663          1     0.00809
26875          1     0.02814
26905          1     0.00731
27059          1     0.02693
27285          1     0.00533
27440          1     0.01376
27492          1     0.17030
27722          1     0.22627
27850          1     0.02868
27871          1     0.25340
28000          1     0.06949
28007          1     0.23971
28259          1     0.00400
28286          1     0.03497
28358          1     0.27342
28450          1     0.03205
28641          1     0.01238
28894          1     0.01566
29128          1     0.02330
29144          1     0.00716
29169          1     0.26959
29376          1     0.03815
29524          1     0.24650
29598          1     0.00679
29701          1     0.25029
29940          1     0.01680
30178          1     0.25333
30420          1     0.00696
30635          1     0.07488
30691          1     0.00633
30883          1     0.04235
30934          1     0.26340
30980          1     0.04236
31145          1     0.02537
31256          1     0.26913
31421          1     0.26589
31532          1     0.26991
31570          1     0.00327
31643          1     0.03783
31816          1     0.35439
32018          1     0.02319
32223          1     0.27627
32232          1     0.02430
32347          1     0.04296
32439          1     0.28045
32660          1     0.38159
32850          1     0.01563
33085          1     0.00782
33290          1     0.03419
33520          1     0.01608
33637          1     0.09422
33658          1     0.29648
33839          1     0.02467
34032          1     0.27920
34154          1     0.01119
34399          1     0.01832
34529          1     0.00828
34779          1     0.30227
34977          1     0.01799
35230          1     0.31178
35371          1     0.06169
35421          1     0.00544
35663          1     0.03788
35891          1     0.30711
35915          1     0.03930
36042          1     0.01137
36159          1     0.03535
36196          1     0.02176
36412          1     0.00674
36485          1     0.03418
36628          1     0.04458
36820          1     0.02524
36856          1     0.02606
37088          1     0.04682
37096          1     0.01007
37167          1     0.00522
37283          1     0.02345
37429          1     0.05881
37614          1     0.07294
37859          1     0.01238
37937          1     0.06642
38138          1     0.01229
38333          1     0.03333
38342          1     0.02652
38480          1     0.01327
38544          1     0.03081
38672          1     0.02513
38889          1     0.33006
39080          1     0.02447
39170          1     0.02651
39342          1     0.00818
39410          1     0.11883
39652          1     0.00742
39661          1     0.02098
39736          1     0.01435
39970          1     0.01355
40074          1     0.08365
40202          1     0.01848
40440          1     0.10396
40485          1     0.34552
40695          1     0.02150
40842          1     0.03634
40904          1     0.03637
41000          1     0.03637
41181          1     0.00302
41250          1     0.00803
41266          1     0.01415
41433          1     0.01814
41521          1     0.02518
41697          1     0.01467
41769          1     0.01909
41828          1     0.35718
41902          1     0.00652
42013          1     0.01072
42177          1     0.06788
42379          1     0.01631
42510          1     0.00649
42742          1     0.00488
42916          1     0.01357
43136          1     0.01780
43235          1     0.06286
43474          1     0.01571
43576          1     0.00394
43767          1     0.06206
43919          1     0.00739
43982          1     0.00817
44229          1     0.09578
44307          1     0.05262
44309          1     0.02458
44409          1     0.00323
44471          1     0.02409
44659          1     0.00526
44758          1     0.00513
44927          1     0.02753
45131          1     0.03052
45154          1     0.00955
45403          1     0.01588
45567          1     0.09335
45677          1     0.00856
45716          1     0.04046
45746          1     0.00478
45818          1     0.03121
45920          1     0.43275
46075          1     0.39902
46279          1     0.01174
46464          1     0.00354
46500          1     0.01989
46625          1     0.02338
46723          1     0.42551
46885          1     0.03112
46949          1     0.01847
47030          1     0.05022
47276          1     0.00842
47320          1     0.00685
47491          1     0.41259
47734          1     0.01966
47903          1     0.09230
48063          1     0.01046
48082          1     0.04498
48242          1     0.07757
48328          1     0.07386
48567          1     0.01948
48735          1     0.26546
48965          1     0.07777
49046          1     0.02877
49057          1     0.01424
49181          1     0.00511
49192          1     0.44208
49333          1     0.00653
49411          1     0.03332
49527          1     0.00854
49754          1     0.03577
49786          1     0.01102
49973          1     0.01749
50130          1     0.03151
50326          1     0.03081
50532          1     0.43421
50583          1     0.02218
50794          1     0.01515
50844          1     0.03201
50868          1     0.43466
51038          1     0.00562
51261          1     0.43867
51305          1     0.00786
51517          1     0.02329
51754          1     0.45314
51981          1     0.05549
52083          1     0.00882
52137          1     0.02314
52344          1     0.03901
52557          1     0.00549
52597          1     0.02680
52684          1     0.03112
52847          1     0.01152
53085          1     0.04081
53097          1     0.00594
53348          1     0.01040
53424          1     0.02332
53519          1     0.07800
53613          1     0.04255
53660          1     0.10040
53848          1     0.45916
54030          1     0.45882
54113          1     0.02590
54366          1     0.01044
54585          1     0.02160
54650          1     0.00998
54814          1     0.06730
55052          1     0.02739
55212          1     0.03787
55265          1     0.48639
55459          1     0.01751
55531          1     0.02043
55633          1     0.04108
55635          1     0.01753
55734          1     0.00877
55937          1     0.03493
56051          1     0.52289
56227          1     0.04906
56385          1     0.48966
56458          1     0.03406
56533          1     0.53382
56644          1     0.05411
56882          1     0.48901
56913          1     0.48603
57142          1     0.02349
57277          1     0.00946
57381          1     0.04283
57607          1     0.02769
57837          1     0.01377
57839          1     0.03831
57949          1     0.51904
57961          1     0.01602
58209          1     0.02070
58463          1     0.01520
58546          1     0.02709
58609          1     0.02442
58671          1     0.03531
58869          1     0.01032
58945          1     0.00430
59088          1     0.04300
59172          1     0.02070
59326          1     0.02678
59352          1     0.01590
59544          1     0.03020
59759          1     0.02743
59901          1     0.02898
59977          1     0.55930
60194          1     0.04781
60380          1     0.01640
60608          1     0.55075
60683          1     0.00847
60904          1     0.51887
60974          1     0.02287
61119          1     0.02336
61284          1     0.01511
61502          1     0.00912
61504          1     0.00868
61649          1     0.01401
61875          1     0.02789
62070          1     0.03936
62323          1     0.00421
62405          1     0.59212
62499          1     0.01914
62713          1     0.01788
62939          1     0.01511
63145          1     0.53793
63277          1     0.29008
63499          1     0.02147
63747          1     0.01548
63825          1     0.01285
63922          1     0.03758
63944          1     0.00549
64006          1     0.05203
64152          1     0.03624
64293          1     0.01041
64500          1     0.04572
64672          1     0.05559
64904          1     0.56137
65122          1     0.00693
65129          1     0.00656
65154          1     0.01266
65163          1     0.02288
65190          1     0.01191
65327          1     0.05294
65507          1     0.00258
65524          1     0.01905
65660          1     0.01330
65841          1     0.03795
65960          1     0.55535
66093          1     0.00775
66115          1     0.01321
66268          1     0.61145
66434          1     0.08920
66637          1     0.06668
66806          1     0.01659
66842          1     0.05996
66938          1     0.00389
66997          1     0.01601
67165          1     0.03466
67406          1     0.01422
67424          1     0.00947
67630          1     0.01501
67834          1     0.01871
67921          1     0.05371
68007          1     0.62837
68227          1     0.08425
68381          1     0.01718
68624          1     0.04000
68821          1     0.03101
68870          1     0.02673
68994          1     0.02706
69195          1     0.04054
69269          1     0.01318
69276          1     0.01087
69344          1     0.60649
69477          1     0.02327
69507          1     0.01614
69669          1     0.61436
69794          1     0.01554
69832          1     0.00741
69868          1     0.03006
69979          1     0.00415
70126          1     0.00331
70143          1     0.00733
70236          1     0.00447
70247          1     0.01210
70458          1     0.01263
70609          1     0.00522
70642          1     0.04986
70656          1     0.03387
70775          1     0.01018
70872          1     0.02877
70908          1     0.01566
70980          1     0.04686
71085          1     0.00777
71335          1     0.00780
71367          1     0.06353
71589          1     0.06967
71817          1     0.03559
71860          1     0.01056
71868          1     0.01333
72048          1     0.07404
72297          1     0.02842
72421          1     0.01693
72510          1     0.01027
72571          1     0.00971
72662          1     0.00791
72873          1     0.05942
73015          1     0.09940
73166          1     0.08360
73178          1     0.03396
73310          1     0.02362
73377          1     0.01194
73457          1     0.03820
73580          1     0.01241
73816          1     0.03099
73833          1     0.05562
74062          1     0.01642
74123          1     0.01283
74281          1     0.01251
74522          1     0.00483
74755          1     0.01141
74796          1     0.01086
74987          1     0.02472
75177          1     0.01983
75258          1     0.00692
75456          1     0.07120
75689          1     0.00867
75777          1     0.05787
75977          1     0.02048
76202          1     0.00369
76332          1     0.00506
76372          1     0.05626
76601          1     0.03515
76836          1     0.02708
76963          1     0.05719
77053          1     0.00475
77103          1     0.00929
77136          1     0.01639
77149          1     0.02595
77162          1     0.02688
77279          1     0.03458
77302          1     0.03488
77539          1     0.01545
77628          1     0.01022
77866          1     0.05419
78103          1     0.01281
78157          1     0.02964
78409          1     0.04522
78607          1     0.02799
78785          1     0.00631
78855          1     0.00625
79105          1     0.07745
79287          1     0.03383
