Real,User,Sys,Algorithm,Thread_Count
5.86,41.09,6.62,LabelProp,192
9.76,43.05,6.91,LabelProp,192
6.12,43.13,7.01,LabelProp,192
10.31,57.82,6.82,LabelProp,192
6.09,39.83,6.36,LabelProp,192
