Real,User,Sys,Algorithm,Thread_Count
5.44,54.95,7.54,LabelProp,192
5.55,57.88,7.90,LabelProp,192
5.48,57.14,7.44,LabelProp,192
5.53,58.86,8.22,LabelProp,192
5.48,56.64,7.44,LabelProp,192
