Real,User,Sys,Algorithm,Thread_Count
5.59,77.61,7.20,orderedCount,192
5.61,75.67,7.24,orderedCount,192
5.69,75.85,7.38,orderedCount,192
5.61,77.04,7.68,orderedCount,192
5.59,76.62,8.05,orderedCount,192
