Real,User,Sys,Algorithm,Thread_Count
6.05,58.15,6.02,nodeIterator,192
6.08,57.14,6.11,nodeIterator,192
6.20,59.66,5.95,nodeIterator,192
6.19,55.86,6.34,nodeIterator,192
5.99,59.46,6.23,nodeIterator,192
