Real,User,Sys,Algorithm,Vertex_ID,Thread_Count,SERIAL,6746789,192
11.65,159.87,8.06,SERIAL,1,192,SERIAL,6746789,192
12.08,167.75,8.32,SERIAL,1,192,SERIAL,6746789,192
11.53,158.82,8.31,SERIAL,1,192,SERIAL,19132098,192
11.84,166.74,8.84,SERIAL,1,192,SERIAL,19132098,192
11.42,168.17,8.85,SERIAL,1,192,SERIAL,19132098,192
11.67,169.56,7.82,SERIAL,17644256,192,SERIAL,19132098,192
12.02,187.13,7.88,SERIAL,17644256,192,SERIAL,19132098,192
11.80,181.46,8.58,SERIAL,17644256,192,SERIAL,22500008,192
12.07,195.00,8.79,SERIAL,17644256,192,SERIAL,22500008,192
11.73,175.21,7.91,SERIAL,17644256,192,SERIAL,22500008,192
11.77,186.86,7.97,SERIAL,1,192,SERIAL,22500008,192
11.74,184.82,8.53,SERIAL,1,192,SERIAL,22500008,192
12.27,161.05,8.30,SERIAL,1,192,SERIAL,3438212,192
11.69,156.67,8.58,SERIAL,1,192,SERIAL,3438212,192
11.89,163.11,8.46,SERIAL,1,192,SERIAL,3438212,192
11.70,165.93,8.32,SERIAL,4695308,192,SERIAL,3438212,192
11.80,159.61,7.91,SERIAL,4695308,192,SERIAL,3438212,192
11.65,178.09,8.22,SERIAL,4695308,192
15.72,154.93,7.93,SERIAL,4695308,192
11.60,192.36,9.64,SERIAL,4695308,192
16.13,188.91,7.91,SERIAL,1556663,192
10.76,166.30,8.03,SERIAL,1556663,192
11.75,178.36,8.35,SERIAL,1556663,192
10.38,169.53,7.90,SERIAL,1556663,192
11.78,182.20,9.49,SERIAL,1556663,192
10.81,167.22,8.38,SERIAL,11341106,192
6.82,161.93,9.01,SERIAL,11341106,192
6.74,165.18,8.19,SERIAL,11341106,192
6.71,165.35,8.81,SERIAL,11341106,192
6.67,167.85,8.51,SERIAL,11341106,192
6.67,167.25,8.16,SERIAL,5037423,192
6.67,169.19,8.58,SERIAL,5037423,192
6.67,165.85,8.54,SERIAL,5037423,192
6.69,165.88,8.31,SERIAL,5037423,192
6.66,167.73,8.95,SERIAL,5037423,192
6.68,163.47,7.83,SERIAL,16572421,192
6.71,169.52,8.48,SERIAL,16572421,192
6.87,164.70,8.39,SERIAL,16572421,192
6.73,165.39,8.74,SERIAL,16572421,192
6.58,161.62,9.38,SERIAL,16572421,192
6.60,164.66,8.12,SERIAL,22729509,192
6.78,165.52,7.97,SERIAL,22729509,192
6.62,163.02,8.28,SERIAL,22729509,192
