Real,User,Sys,Algorithm,Tolerance,Thread_Count
6.09,58.21,7.22,Async-Pull,0.0001,192
11.13,104.45,6.54,Pull-Residual,0.0001,192
6.17,58.20,7.06,Async-Pull,0.0001,192
11.31,105.65,7.56,Pull-Residual,0.0001,192
6.13,61.70,7.32,Async-Pull,0.0001,192
11.32,107.63,9.32,Pull-Residual,0.0001,192
6.22,58.90,6.68,Async-Pull,0.0001,192
11.08,88.37,6.61,Pull-Residual,0.0001,192
6.11,59.67,6.83,Async-Pull,0.0001,192
11.21,86.77,7.26,Pull-Residual,0.0001,192
