Real,User,Sys,Algorithm,Tolerance,Thread_Count
14.10,94.50,5.66,Push-Async,0.0001,192
10.19,91.14,5.83,Push-Sync,0.0001,192
10.42,93.63,5.96,Push-Async,0.0001,192
14.44,75.77,5.35,Push-Sync,0.0001,192
10.39,88.69,5.41,Push-Async,0.0001,192
10.33,94.73,5.50,Push-Sync,0.0001,192
10.30,97.98,5.06,Push-Async,0.0001,192
10.43,93.94,5.44,Push-Sync,0.0001,192
10.54,94.89,5.62,Push-Async,0.0001,192
9.78,88.71,5.83,Push-Sync,0.0001,192
