Real,User,Sys,Algorithm,Thread_Count
5.49,33.42,4.48,LabelProp,192
5.55,33.83,4.30,LabelProp,192
9.73,36.44,4.85,LabelProp,192
6.91,43.40,5.47,LabelProp,192
9.86,37.28,4.41,LabelProp,192
