Real,User,Sys,Algorithm,Tolerance,Thread_Count
12.23,555.43,8.04,Push-Async,0.0001,192
11.30,158.58,9.39,Push-Sync,0.0001,192
11.32,747.52,8.92,Push-Async,0.0001,192
6.38,154.13,8.33,Push-Sync,0.0001,192
12.22,588.42,7.94,Push-Async,0.0001,192
10.27,171.85,9.05,Push-Sync,0.0001,192
12.72,673.99,9.44,Push-Async,0.0001,192
6.29,150.78,8.46,Push-Sync,0.0001,192
11.99,566.65,8.39,Push-Async,0.0001,192
11.61,161.15,11.00,Push-Sync,0.0001,192
