Real,User,Sys,Algorithm,Thread_Count
6.44,133.69,8.07,orderedCount,192
6.34,136.10,8.17,orderedCount,192
6.24,128.79,8.13,orderedCount,192
6.28,128.95,8.40,orderedCount,192
6.86,133.47,7.89,orderedCount,192
