Real,User,Sys,Algorithm,Tolerance,Thread_Count
23.98,2359.48,11.51,Push-Async,0.0001,192
8.74,393.80,8.77,Push-Sync,0.0001,192
24.14,2347.42,10.64,Push-Async,0.0001,192
8.80,402.52,7.97,Push-Sync,0.0001,192
23.87,2282.71,11.37,Push-Async,0.0001,192
8.74,401.39,7.96,Push-Sync,0.0001,192
25.04,2594.50,10.77,Push-Async,0.0001,192
12.46,395.54,7.47,Push-Sync,0.0001,192
15.46,1533.41,8.72,Push-Async,0.0001,192
13.12,418.27,10.54,Push-Sync,0.0001,192
