Real,User,Sys,Algorithm,Thread_Count
6.09,49.74,4.37,nodeIterator,192
6.21,60.68,5.78,nodeIterator,192
9.97,53.17,4.59,nodeIterator,192
6.03,49.35,4.73,nodeIterator,192
9.86,52.94,4.61,nodeIterator,192
