Real,User,Sys,Algorithm,Vertex_ID,Thread_Count,SERIAL,1980615,192
17.29,197.05,9.33,SERIAL,635768,192
13.64,184.36,9.94,SERIAL,635768,192
12.03,175.59,9.40,SERIAL,2470987,192
11.88,185.05,9.80,SERIAL,2470987,192
12.09,185.56,9.26,SERIAL,2470987,192
11.65,196.73,8.77,SERIAL,2470987,192
11.36,195.96,8.81,SERIAL,2470987,192
12.04,188.98,9.89,SERIAL,1463012,192
12.94,193.56,10.50,SERIAL,1463012,192
12.19,201.52,9.81,SERIAL,1463012,192
12.12,194.33,9.41,SERIAL,1463012,192
12.46,191.60,9.45,SERIAL,1463012,192
