Real,User,Sys,Algorithm,Tolerance,Thread_Count
10.76,105.68,7.88,Async-Pull,0.0001,192
11.15,99.40,8.72,Pull-Residual,0.0001,192
6.61,100.45,7.85,Async-Pull,0.0001,192
10.41,100.60,8.08,Pull-Residual,0.0001,192
11.92,161.57,7.75,Async-Pull,0.0001,192
10.90,111.48,8.80,Pull-Residual,0.0001,192
6.68,101.19,7.83,Async-Pull,0.0001,192
11.17,113.05,9.08,Pull-Residual,0.0001,192
11.16,101.35,8.09,Async-Pull,0.0001,192
7.29,92.76,8.51,Pull-Residual,0.0001,192
