Real,User,Sys,Algorithm,Thread_Count
11.95,200.64,8.64,nodeIterator,192
11.73,197.70,8.51,nodeIterator,192
11.61,203.63,8.36,nodeIterator,192
11.54,202.76,8.07,nodeIterator,192
11.57,202.33,8.60,nodeIterator,192
