Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
32.54,2397.85,106.92,PARALLEL,0,192
31.79,2199.86,104.67,PARALLEL,798169,192
32.79,2526.61,105.32,PARALLEL,0,192
31.15,2079.08,104.25,PARALLEL,798169,192
33.32,2619.40,106.66,PARALLEL,0,192
31.90,2217.89,103.95,PARALLEL,798169,192
31.01,2259.67,105.00,PARALLEL,0,192
30.82,2117.43,103.63,PARALLEL,798169,192
33.89,2919.20,104.48,PARALLEL,0,192
23.89,896.85,102.84,PARALLEL,1,192
37.29,2143.02,82.68,PARALLEL,798169,192,PARALLEL,1,192
23.86,910.68,103.97,PARALLEL,1,192
24.86,891.26,105.56,PARALLEL,1,192
23.51,900.14,105.20,PARALLEL,1,192
24.06,982.11,104.01,PARALLEL,165871037,192
34.25,2955.74,105.47,PARALLEL,798169,192
23.86,1027.49,103.01,PARALLEL,165871037,192
25.29,1051.55,106.17,PARALLEL,165871037,192
24.08,994.32,103.33,PARALLEL,165871037,192
30.81,2235.54,104.96,PARALLEL,798169,192
25.90,958.89,78.63,PARALLEL,165871037,192
34.32,2795.82,106.17,PARALLEL,20052994,192
32.00,2332.00,106.10,PARALLEL,798169,192
31.81,2303.65,104.15,PARALLEL,20052994,192
33.38,2589.18,104.93,PARALLEL,798169,192
32.73,2607.10,102.01,PARALLEL,20052994,192
37.24,974.76,106.85,PARALLEL,1,192,PARALLEL,20052994,192
23.25,871.97,105.42,PARALLEL,1,192
24.55,937.83,105.29,PARALLEL,1,192
24.35,943.69,107.04,PARALLEL,1,192
24.04,883.40,107.61,PARALLEL,1,192
35.02,2238.25,111.28,PARALLEL,20052994,192,PARALLEL,165871037,192
24.78,1090.00,106.28,PARALLEL,165871037,192
24.62,1005.15,104.01,PARALLEL,165871037,192
26.02,1170.53,104.99,PARALLEL,144938456,192
28.12,1076.75,102.19,PARALLEL,165871037,192
34.48,1167.34,104.17,PARALLEL,165871037,192,PARALLEL,144938456,192
32.35,2331.59,104.02,PARALLEL,20052994,192
27.15,1036.68,76.84,PARALLEL,144938456,192
26.28,1236.88,104.84,PARALLEL,144938456,192
36.05,2338.61,106.42,PARALLEL,20052994,192,PARALLEL,144938456,192
26.20,1148.09,104.71,PARALLEL,38031160,192
32.77,2331.73,103.46,PARALLEL,20052994,192
29.70,1268.67,76.60,PARALLEL,38031160,192
25.96,1130.25,103.51,PARALLEL,38031160,192
36.34,2212.57,103.31,PARALLEL,20052994,192,PARALLEL,38031160,192
26.09,1159.76,103.70,PARALLEL,38031160,192
40.81,2672.56,107.51,PARALLEL,20052994,192,PARALLEL,4163428,192
28.42,1588.48,106.80,PARALLEL,4163428,192
26.06,1169.72,103.98,PARALLEL,144938456,192
29.31,1692.29,106.56,PARALLEL,4163428,192
24.95,1122.14,105.57,PARALLEL,144938456,192
36.74,1331.63,108.19,PARALLEL,144938456,192,PARALLEL,4163428,192
25.83,1113.46,105.86,PARALLEL,144938456,192
27.78,1628.86,103.75,PARALLEL,4163428,192
26.39,1192.23,104.65,PARALLEL,144938456,192
26.75,1132.59,103.90,PARALLEL,135129017,192
25.13,1134.27,105.04,PARALLEL,38031160,192
27.03,1192.97,104.28,PARALLEL,135129017,192
27.40,1066.00,79.51,PARALLEL,38031160,192
29.77,1188.77,104.69,PARALLEL,135129017,192,PARALLEL,38031160,192
26.28,1133.86,104.31,PARALLEL,135129017,192
25.92,1007.96,76.42,PARALLEL,38031160,192
29.99,1138.55,104.94,PARALLEL,135129017,192,PARALLEL,38031160,192
26.59,1167.03,104.27,PARALLEL,17275156,192
27.17,1619.13,97.25,PARALLEL,4163428,192
26.82,1205.84,105.22,PARALLEL,17275156,192
27.90,1627.08,99.31,PARALLEL,4163428,192
24.93,1119.64,101.24,PARALLEL,17275156,192
35.18,1399.85,85.45,PARALLEL,17275156,192,PARALLEL,4163428,192
25.64,1156.66,104.11,PARALLEL,17275156,192
27.42,1650.32,104.93,PARALLEL,4163428,192
25.03,939.48,105.47,PARALLEL,192385573,192
24.62,927.31,103.52,PARALLEL,192385573,192
32.92,1521.17,79.85,PARALLEL,4163428,192,PARALLEL,192385573,192
24.75,894.98,104.20,PARALLEL,192385573,192
24.28,915.28,104.84,PARALLEL,192385573,192
31.97,1068.83,84.99,PARALLEL,135129017,192,PARALLEL,151198018,192
24.67,994.53,105.31,PARALLEL,151198018,192
28.31,1030.45,104.72,PARALLEL,135129017,192
25.71,868.91,77.65,PARALLEL,151198018,192
24.65,976.26,104.93,PARALLEL,151198018,192
26.54,1004.98,82.38,PARALLEL,135129017,192
26.65,883.30,76.01,PARALLEL,151198018,192
25.54,1064.67,105.22,PARALLEL,74122249,192
27.70,1045.20,77.13,PARALLEL,135129017,192
24.79,1090.09,103.51,PARALLEL,74122249,192
25.05,1118.29,106.37,PARALLEL,135129017,192
24.31,1007.57,104.22,PARALLEL,74122249,192
32.18,1166.59,90.91,PARALLEL,74122249,192,PARALLEL,17275156,192
28.85,994.74,104.02,PARALLEL,74122249,192,PARALLEL,17275156,192
27.26,1529.67,104.49,PARALLEL,90461801,192
24.97,1110.27,104.75,PARALLEL,17275156,192
32.73,1475.00,105.53,PARALLEL,90461801,192,PARALLEL,17275156,192
30.38,1199.24,107.35,PARALLEL,17275156,192,PARALLEL,90461801,192
24.92,917.79,105.30,PARALLEL,192385573,192
30.07,1424.83,107.81,PARALLEL,90461801,192,PARALLEL,192385573,192
23.54,907.83,105.21,PARALLEL,192385573,192
24.38,884.26,106.60,PARALLEL,192385573,192
34.08,1382.90,104.34,PARALLEL,90461801,192,PARALLEL,192385573,192
25.01,957.87,103.30,PARALLEL,151198018,192
33.17,1012.37,106.01,PARALLEL,151198018,192,PARALLEL,160142600,192
30.18,988.24,107.30,PARALLEL,151198018,192,PARALLEL,160142600,192
23.51,877.29,101.22,PARALLEL,151198018,192
30.13,1079.15,106.30,PARALLEL,160142600,192,PARALLEL,151198018,192
34.64,1224.86,110.48,PARALLEL,74122249,192,PARALLEL,160142600,192
26.14,1024.87,106.63,PARALLEL,160142600,192,PARALLEL,74122249,192
26.95,1391.90,106.38,PARALLEL,33956086,192
28.95,1117.35,95.10,PARALLEL,74122249,192
28.49,1067.58,106.08,PARALLEL,74122249,192,PARALLEL,33956086,192
24.78,1003.38,104.21,PARALLEL,74122249,192
29.51,1399.41,107.25,PARALLEL,33956086,192,PARALLEL,90461801,192
34.88,1502.70,83.60,PARALLEL,90461801,192,PARALLEL,33956086,192
36.23,1411.29,105.49,PARALLEL,90461801,192,PARALLEL,33956086,192
35.48,1424.54,107.46,PARALLEL,90461801,192,PARALLEL,143154013,192
30.67,1153.13,105.52,PARALLEL,143154013,192,PARALLEL,90461801,192
26.00,1156.49,104.03,PARALLEL,143154013,192
24.00,1021.23,102.57,PARALLEL,160142600,192
28.19,1091.78,109.00,PARALLEL,160142600,192,PARALLEL,143154013,192
24.64,976.81,105.28,PARALLEL,160142600,192
31.52,1208.54,108.48,PARALLEL,143154013,192,PARALLEL,160142600,192
25.43,1017.32,105.89,PARALLEL,160142600,192
30.79,2325.74,106.31,PARALLEL,22315338,192
26.13,1400.27,105.50,PARALLEL,33956086,192
27.22,1393.02,105.19,PARALLEL,33956086,192
30.19,1987.46,106.14,PARALLEL,22315338,192
28.52,1457.66,103.98,PARALLEL,33956086,192
36.40,2217.74,106.50,PARALLEL,22315338,192,PARALLEL,33956086,192
27.25,1389.00,106.29,PARALLEL,33956086,192
31.29,2090.87,103.67,PARALLEL,22315338,192
25.91,1163.14,105.61,PARALLEL,143154013,192
30.45,1122.14,104.94,PARALLEL,143154013,192,PARALLEL,22315338,192
26.00,1193.80,105.34,PARALLEL,143154013,192
30.56,1207.01,106.82,PARALLEL,143154013,192,PARALLEL,180603258,192
23.85,906.93,105.71,PARALLEL,180603258,192
31.81,1185.42,103.62,PARALLEL,180603258,192,PARALLEL,143154013,192
23.85,928.09,106.29,PARALLEL,180603258,192
24.88,941.87,104.24,PARALLEL,180603258,192,PARALLEL,22315338,192
23.64,911.23,102.24,PARALLEL,251852431,192
24.91,993.72,102.65,PARALLEL,251852431,192
24.39,900.96,106.34,PARALLEL,251852431,192
24.40,918.76,106.39,PARALLEL,251852431,192
36.35,1907.04,102.55,PARALLEL,22315338,192,PARALLEL,251852431,192
29.54,1844.43,105.14,PARALLEL,20307448,192
29.78,1850.19,106.85,PARALLEL,22315338,192
30.95,2062.12,104.99,PARALLEL,20307448,192
30.86,2010.27,106.68,PARALLEL,22315338,192
29.82,1837.71,104.63,PARALLEL,20307448,192
30.88,1999.42,105.88,PARALLEL,22315338,192
29.66,1834.90,104.80,PARALLEL,20307448,192
25.42,968.71,105.10,PARALLEL,180603258,192
24.88,973.24,105.53,PARALLEL,180603258,192
32.83,2275.93,107.21,PARALLEL,20307448,192,PARALLEL,180603258,192
23.47,916.42,104.99,PARALLEL,180603258,192
24.93,944.58,106.96,PARALLEL,180603258,192
24.74,944.02,107.92,PARALLEL,251852431,192
36.49,984.71,87.61,PARALLEL,251852431,192,PARALLEL,21541946,192
23.41,933.32,103.24,PARALLEL,251852431,192
24.98,912.30,106.61,PARALLEL,251852431,192
24.17,939.63,103.23,PARALLEL,251852431,192
33.85,2025.46,106.78,PARALLEL,20307448,192,PARALLEL,21541946,192
36.14,2535.91,105.39,PARALLEL,20307448,192,PARALLEL,21541946,192
28.89,1882.60,105.42,PARALLEL,20307448,192
37.43,1905.29,87.81,PARALLEL,21541946,192
29.07,1918.80,106.43,PARALLEL,20307448,192
31.69,2168.54,73.76,PARALLEL,21541946,192
28.65,1811.13,105.71,PARALLEL,20307448,192
26.27,827.96,80.68,PARALLEL,174131172,192
24.09,933.51,104.59,PARALLEL,174131172,192
24.34,955.56,105.08,PARALLEL,174131172,192
23.69,910.53,103.74,PARALLEL,174131172,192
32.95,2011.94,108.14,PARALLEL,21541946,192,PARALLEL,174131172,192
28.22,1897.05,105.09,PARALLEL,21541946,192
29.75,2146.30,105.99,PARALLEL,21541946,192
29.56,2140.30,105.93,PARALLEL,21541946,192
29.47,2134.63,103.14,PARALLEL,21541946,192
23.24,939.51,102.32,PARALLEL,174131172,192
23.06,917.51,103.60,PARALLEL,174131172,192
22.80,912.74,104.70,PARALLEL,174131172,192
22.79,936.71,104.78,PARALLEL,174131172,192
22.85,894.03,107.04,PARALLEL,174131172,192
