Real,User,Sys,Algorithm,Tolerance,Thread_Count
13.51,1288.13,8.73,Push-Async,0.0001,192
11.44,162.47,9.37,Push-Sync,0.0001,192
13.64,1272.26,9.59,Push-Async,0.0001,192
11.55,169.59,9.15,Push-Sync,0.0001,192
13.41,1254.89,9.00,Push-Async,0.0001,192
11.51,167.54,8.82,Push-Sync,0.0001,192
14.70,1403.46,8.65,Push-Async,0.0001,192
11.36,168.57,10.26,Push-Sync,0.0001,192
13.66,1277.17,8.67,Push-Async,0.0001,192
11.74,158.48,9.72,Push-Sync,0.0001,192
