Real,User,Sys,Algorithm,Thread_Count
9.69,53.07,4.96,orderedCount,192
5.93,52.56,4.44,orderedCount,192
9.70,52.25,5.04,orderedCount,192
10.20,49.87,4.78,orderedCount,192
5.86,55.26,4.65,orderedCount,192
