Real,User,Sys,Algorithm,Tolerance,Thread_Count
11.18,94.56,5.70,Push-Async,0.0001,192
10.50,93.01,5.40,Push-Sync,0.0001,192
10.22,165.28,5.11,Push-Async,0.0001,192
10.47,86.37,5.59,Push-Sync,0.0001,192
10.35,90.82,5.14,Push-Async,0.0001,192
10.90,94.46,5.24,Push-Sync,0.0001,192
10.48,91.50,5.27,Push-Async,0.0001,192
10.58,91.49,4.94,Push-Sync,0.0001,192
10.45,92.47,5.20,Push-Async,0.0001,192
10.71,98.16,6.39,Push-Sync,0.0001,192
