Real,User,Sys,Algorithm,Vertex_ID,Thread_Count
13.73,378.59,38.14,PARALLEL,43205208,192,PARALLEL,1967412,192
15.42,351.62,37.76,PARALLEL,43205208,192,PARALLEL,64359617,192
15.40,358.79,31.60,PARALLEL,64359617,192,PARALLEL,43205208,192
10.81,337.48,30.37,PARALLEL,64359617,192
14.83,382.75,31.20,PARALLEL,64359617,192,PARALLEL,60240436,192
15.31,352.66,31.15,PARALLEL,64359617,192,PARALLEL,60240436,192
16.36,411.17,37.30,PARALLEL,8533014,192,PARALLEL,60240436,192
16.70,412.35,33.97,PARALLEL,60240436,192,PARALLEL,8533014,192
11.24,354.13,32.32,PARALLEL,60240436,192
17.66,1362.60,40.63,PARALLEL,8533014,192,PARALLEL,1967412,192
12.06,372.32,36.35,PARALLEL,8533014,192
11.62,403.44,39.59,PARALLEL,1967412,192
11.43,349.03,36.07,PARALLEL,8533014,192
15.42,443.36,37.50,PARALLEL,1967412,192,PARALLEL,38234475,192
11.96,413.42,35.77,PARALLEL,1967412,192
11.70,455.17,39.29,PARALLEL,38234475,192
12.31,438.85,38.49,PARALLEL,1967412,192
11.97,433.42,42.11,PARALLEL,38234475,192
11.37,331.67,32.05,PARALLEL,64359617,192
11.59,348.25,30.37,PARALLEL,64359617,192
17.44,1334.83,39.45,PARALLEL,38234475,192,PARALLEL,64359617,192
11.20,330.76,30.87,PARALLEL,64359617,192
11.31,342.57,30.72,PARALLEL,64359617,192
17.58,464.82,36.87,PARALLEL,38234475,192,PARALLEL,8533014,192
11.34,340.26,35.86,PARALLEL,8533014,192
12.35,358.98,33.97,PARALLEL,49151238,192
11.82,351.00,37.84,PARALLEL,8533014,192
10.94,355.97,38.30,PARALLEL,49151238,192
11.39,339.14,37.21,PARALLEL,8533014,192
11.60,385.85,40.53,PARALLEL,49151238,192
10.81,338.09,36.57,PARALLEL,8533014,192
15.49,360.76,39.79,PARALLEL,49151238,192,PARALLEL,38234475,192
11.62,368.13,38.95,PARALLEL,49151238,192
16.43,448.66,40.06,PARALLEL,38234475,192,PARALLEL,26021484,192
11.33,345.56,35.49,PARALLEL,26021484,192
12.34,482.11,35.71,PARALLEL,38234475,192
10.90,339.67,35.58,PARALLEL,26021484,192
15.30,361.12,36.97,PARALLEL,26021484,192,PARALLEL,38234475,192
11.71,347.53,38.54,PARALLEL,26021484,192
15.90,1053.56,41.05,PARALLEL,38234475,192,PARALLEL,53280259,192
15.83,413.85,40.89,PARALLEL,53280259,192,PARALLEL,49151238,192
16.79,657.63,40.32,PARALLEL,49151238,192,PARALLEL,53280259,192
13.74,498.60,36.62,PARALLEL,49151238,192,PARALLEL,53280259,192
15.59,370.42,38.51,PARALLEL,49151238,192,PARALLEL,53280259,192
15.21,373.18,36.98,PARALLEL,49151238,192
13.51,497.58,38.23,PARALLEL,26021484,192
17.35,453.34,47.75,PARALLEL,26021484,192
11.07,359.17,39.72,PARALLEL,26021484,192
10.94,330.17,34.46,PARALLEL,26021484,192
10.97,343.42,37.63,PARALLEL,26021484,192
11.18,379.84,41.22,PARALLEL,53280259,192
11.39,391.84,42.10,PARALLEL,53280259,192
11.29,384.70,41.53,PARALLEL,53280259,192
11.22,390.74,36.13,PARALLEL,53280259,192
11.20,403.71,43.04,PARALLEL,53280259,192
