Real,User,Sys,Algorithm,Thread_Count
6.25,78.48,6.88,orderedCount,192
10.91,84.65,6.69,orderedCount,192
6.90,87.58,7.43,orderedCount,192
10.50,84.61,7.24,orderedCount,192
6.55,81.56,6.71,orderedCount,192
