Real,User,Sys,Algorithm,Thread_Count
10.29,45.93,7.75,LabelProp,192
9.88,41.38,7.93,LabelProp,192
6.03,46.87,7.51,LabelProp,192
10.43,48.39,6.84,LabelProp,192
10.23,42.55,7.63,LabelProp,192
