Real,User,Sys,Algorithm,Thread_Count
21.86,1040.58,108.07,LabelProp,192
21.94,1046.83,105.31,LabelProp,192
21.67,1019.79,106.79,LabelProp,192
22.20,1034.76,107.03,LabelProp,192
21.71,1031.74,106.01,LabelProp,192
