Real,User,Sys,Algorithm,Thread_Count
5.89,40.39,6.48,LabelProp,192
9.81,39.14,6.34,LabelProp,192
6.09,40.78,5.93,LabelProp,192
10.18,38.69,5.85,LabelProp,192
9.97,43.59,5.98,LabelProp,192
